,date,Auto-test,Isolement,Symptômes,Contagion,Fièvre,Contact tracing,Autotests COVID,Essoufflement,Maux de tête,Toux,Système immunitaire,Diarrhée,Urgences,Fatigue,Dépression,Hôpital,Variant omicron,Anxiété,Gamma,Soins à domicile,Voyages,Green Pass,Télétravail,Coronavirus,Soins intensifs,Tests PCR,Tests antigéniques,Certificat sanitaire,Ventilation,Perte de goût,Frontières,Quarantaine,Restrictions,Distanciation sociale,Alpha,Chômage,Gel hydroalcoolique,Réanimation,Aéroports,region,region name
44,2021-03-07,0.0,12,47,62,79,0.0,0.0,0,36,30,0,56,24,57,49,81,6,12,0,0.0,10,0.0,40,18,0.0,0.0,0.0,0,42,0.0,21,36,22,32,61,52,6,35,0,M,Lorraine
45,2021-03-14,0.0,10,49,50,0,0.0,0.0,0,30,41,0,29,26,47,54,67,19,0,36,0.0,40,30.0,13,20,0.0,53.0,0.0,0,43,0.0,11,33,17,0,57,34,11,37,0,M,Lorraine
46,2021-03-21,0.0,14,57,21,81,0.0,0.0,0,54,37,32,44,38,71,43,66,0,0,40,0.0,28,44.0,0,23,24.0,0.0,0.0,0,24,0.0,30,27,27,42,51,42,23,100,22,M,Lorraine
47,2021-03-28,0.0,30,54,36,42,0.0,0.0,0,22,34,0,32,34,70,15,55,0,0,22,0.0,20,0.0,46,25,72.0,0.0,0.0,0,32,0.0,9,76,100,0,44,65,0,39,0,M,Lorraine
48,2021-04-04,0.0,16,40,31,33,0.0,0.0,32,29,44,26,49,28,69,0,66,6,12,50,0.0,15,0.0,24,18,0.0,0.0,0.0,0,0,26.0,10,32,22,0,62,54,6,82,0,M,Lorraine
49,2021-04-11,52.0,10,59,44,49,85.0,0.0,35,0,35,55,50,31,80,27,60,0,0,47,0.0,24,23.0,30,18,0.0,83.0,0.0,16,36,0.0,10,24,21,0,36,39,0,30,0,M,Lorraine
50,2021-04-18,0.0,15,51,19,34,69.0,0.0,0,0,17,0,43,33,68,14,67,0,28,41,0.0,29,35.0,22,16,24.0,0.0,0.0,0,51,0.0,13,43,36,0,95,50,0,0,21,M,Lorraine
51,2021-04-25,0.0,4,44,0,47,0.0,26.0,0,0,25,40,52,32,81,22,74,0,19,42,0.0,35,0.0,46,16,0.0,40.0,0.0,0,24,39.0,34,0,20,0,60,56,11,34,0,M,Lorraine
52,2021-05-02,0.0,0,41,0,49,0.0,0.0,0,0,12,0,58,32,72,63,61,0,52,37,0.0,40,28.0,32,13,0.0,0.0,0.0,0,45,22.0,25,67,24,0,73,58,16,19,32,M,Lorraine
53,2021-05-09,0.0,11,39,15,0,32.0,0.0,0,0,21,32,41,32,42,39,64,0,33,0,0.0,36,0.0,26,12,0.0,0.0,30.0,0,40,0.0,30,67,32,0,70,14,4,72,0,M,Lorraine
54,2021-05-16,0.0,8,44,46,33,0.0,22.0,19,0,23,0,44,34,94,0,79,0,37,53,0.0,47,0.0,39,11,0.0,0.0,0.0,0,41,0.0,22,39,13,0,47,41,12,49,0,M,Lorraine
55,2021-05-23,0.0,11,54,0,41,0.0,0.0,53,45,32,28,47,44,80,18,68,0,0,40,0.0,52,0.0,70,9,0.0,0.0,0.0,0,22,0.0,22,23,34,0,51,26,10,17,0,M,Lorraine
56,2021-05-30,0.0,5,40,38,44,73.0,0.0,28,33,40,0,28,32,44,34,70,0,35,29,0.0,49,0.0,99,10,0.0,88.0,0.0,0,54,0.0,30,0,27,54,60,35,11,40,42,M,Lorraine
57,2021-06-06,0.0,17,37,11,91,0.0,0.0,39,0,36,65,26,32,71,37,52,0,46,0,35.0,36,0.0,35,9,0.0,0.0,0.0,20,37,0.0,34,30,35,0,30,38,0,0,0,M,Lorraine
58,2021-06-13,0.0,4,47,33,28,0.0,0.0,0,0,26,0,62,46,39,49,53,0,41,47,29.0,100,0.0,24,9,0.0,0.0,0.0,0,25,0.0,0,0,0,0,47,42,6,25,0,M,Lorraine
59,2021-06-20,0.0,0,49,11,45,0.0,0.0,0,29,24,57,49,31,70,19,63,6,26,22,0.0,64,100.0,17,8,0.0,0.0,0.0,0,23,0.0,6,58,12,0,43,42,0,0,25,M,Lorraine
60,2021-06-27,0.0,0,40,20,35,0.0,0.0,22,51,13,0,54,42,37,20,67,6,24,33,0.0,19,0.0,57,7,76.0,0.0,0.0,0,40,0.0,9,34,30,0,53,54,9,0,0,M,Lorraine
61,2021-07-04,0.0,7,43,18,57,0.0,0.0,30,53,29,0,41,21,77,14,70,0,0,28,0.0,40,0.0,0,11,0.0,53.0,0.0,0,30,0.0,18,63,32,0,48,19,0,52,18,M,Lorraine
62,2021-07-11,0.0,14,47,14,62,0.0,0.0,24,0,32,0,37,64,78,47,83,0,0,42,0.0,35,0.0,0,11,0.0,0.0,0.0,61,40,42.0,10,100,74,0,45,44,0,0,0,M,Lorraine
63,2021-07-18,0.0,21,66,47,64,0.0,0.0,0,0,23,0,68,23,77,0,88,0,13,74,0.0,56,0.0,35,12,100.0,45.0,0.0,72,25,0.0,13,65,52,0,66,53,8,62,0,M,Lorraine
64,2021-07-25,0.0,10,45,14,64,0.0,0.0,0,0,15,0,100,50,52,43,79,0,65,37,0.0,35,0.0,32,11,0.0,48.0,19.0,35,77,26.0,0,62,59,0,44,31,23,50,100,M,Lorraine
65,2021-08-01,0.0,13,51,32,48,0.0,0.0,27,0,25,0,70,30,50,39,81,0,13,18,0.0,51,87.0,15,9,0.0,0.0,0.0,29,43,0.0,23,51,29,0,53,39,9,0,0,M,Lorraine
66,2021-08-08,0.0,13,63,24,48,0.0,0.0,0,33,24,88,50,40,77,14,70,0,0,47,0.0,44,0.0,18,10,0.0,48.0,73.0,38,26,31.0,0,0,29,28,41,27,7,47,0,M,Lorraine
67,2021-08-15,0.0,10,51,13,0,0.0,0.0,0,23,21,0,54,60,88,0,70,0,38,64,0.0,37,47.0,0,9,0.0,0.0,0.0,0,63,0.0,20,49,47,24,38,16,8,31,0,M,Lorraine
68,2021-08-22,0.0,31,52,14,78,45.0,0.0,39,24,23,0,37,30,76,42,82,0,20,55,0.0,69,38.0,0,8,37.0,60.0,0.0,0,24,65.0,8,35,19,39,51,12,5,0,21,M,Lorraine
69,2021-08-29,0.0,0,45,51,40,0.0,0.0,0,0,30,80,77,28,42,29,68,6,0,30,54.0,65,47.0,25,6,0.0,0.0,0.0,0,18,0.0,0,37,0,0,53,35,0,31,0,M,Lorraine
70,2021-09-05,0.0,4,38,38,46,0.0,0.0,0,57,32,0,61,39,55,33,65,0,0,38,0.0,25,0.0,41,7,0.0,0.0,20.0,0,24,0.0,19,53,0,0,23,46,24,0,0,M,Lorraine
71,2021-09-12,0.0,9,50,18,18,0.0,0.0,29,0,47,29,56,25,69,35,59,6,0,42,21.0,64,37.0,32,6,0.0,0.0,0.0,0,45,0.0,0,76,63,0,73,46,8,75,21,M,Lorraine
72,2021-09-19,0.0,7,43,10,62,0.0,26.0,0,88,42,0,63,55,71,19,53,0,0,39,0.0,35,44.0,21,6,0.0,0.0,0.0,0,45,0.0,36,35,11,42,51,14,0,21,0,M,Lorraine
73,2021-09-26,0.0,0,40,37,47,0.0,0.0,0,0,59,100,36,37,55,49,59,0,25,22,0.0,80,48.0,0,5,0.0,40.0,100.0,0,63,0.0,20,69,17,0,47,69,21,39,30,M,Lorraine
74,2021-10-03,0.0,0,57,0,28,0.0,0.0,0,73,87,0,45,14,38,14,60,0,41,52,0.0,77,0.0,0,5,0.0,0.0,0.0,0,29,0.0,10,20,0,0,67,29,0,0,0,M,Lorraine
75,2021-10-10,0.0,0,43,12,17,0.0,0.0,0,23,96,0,63,22,63,33,76,0,15,23,0.0,44,0.0,14,6,0.0,75.0,0.0,0,77,0.0,30,43,0,0,80,39,0,24,0,M,Lorraine
76,2021-10-17,0.0,4,47,52,80,0.0,0.0,46,46,95,0,57,51,45,25,77,0,0,39,0.0,47,0.0,16,5,52.0,0.0,0.0,0,32,0.0,9,0,0,31,78,37,0,0,0,M,Lorraine
77,2021-10-24,0.0,6,51,33,81,0.0,0.0,0,25,56,36,51,90,45,46,52,0,40,69,0.0,52,0.0,17,5,0.0,0.0,0.0,0,25,0.0,7,24,17,0,67,18,7,0,0,M,Lorraine
78,2021-10-31,0.0,7,35,18,0,0.0,0.0,32,0,68,42,49,47,63,44,58,0,60,52,0.0,57,0.0,21,5,0.0,0.0,0.0,0,40,0.0,0,0,9,0,54,43,0,0,0,M,Lorraine
79,2021-11-07,0.0,0,41,22,19,0.0,29.0,0,27,48,0,48,58,55,0,51,0,0,0,0.0,0,0.0,15,6,0.0,73.0,42.0,0,31,0.0,11,41,15,0,57,43,0,0,0,M,Lorraine
80,2021-11-14,0.0,18,45,33,47,0.0,0.0,0,0,58,27,47,46,69,80,79,0,0,77,0.0,49,28.0,19,9,35.0,0.0,45.0,0,22,0.0,23,35,28,0,65,10,9,30,0,M,Lorraine
81,2021-11-21,0.0,20,45,0,22,0.0,0.0,0,56,75,51,72,52,53,46,63,22,47,22,0.0,43,0.0,30,9,34.0,73.0,0.0,0,43,0.0,12,0,41,0,62,26,15,0,0,M,Lorraine
82,2021-11-28,0.0,17,54,30,75,39.0,0.0,0,46,65,0,61,0,55,52,72,100,27,36,0.0,25,0.0,20,10,0.0,0.0,0.0,46,46,0.0,16,36,66,0,62,27,0,0,0,M,Lorraine
83,2021-12-05,0.0,23,51,37,87,0.0,0.0,0,0,63,0,51,81,74,29,59,21,57,51,0.0,0,93.0,44,10,0.0,70.0,0.0,0,50,23.0,7,0,50,0,66,9,0,39,24,M,Lorraine
84,2021-12-12,0.0,27,50,26,68,0.0,0.0,43,36,73,0,74,48,47,100,92,25,40,24,21.0,26,0.0,26,9,0.0,81.0,0.0,24,46,0.0,6,46,24,0,45,24,0,0,0,M,Lorraine
85,2021-12-19,0.0,41,44,44,91,0.0,0.0,59,49,69,0,52,100,47,31,64,61,0,100,0.0,48,0.0,53,10,49.0,0.0,0.0,0,100,0.0,26,30,59,45,96,0,12,82,0,M,Lorraine
86,2021-12-26,0.0,83,87,61,71,44.0,35.0,0,34,66,0,85,60,82,32,67,45,0,18,23.0,44,0.0,42,12,0.0,64.0,36.0,26,17,0.0,10,39,62,0,64,55,0,34,50,M,Lorraine
87,2022-01-02,0.0,100,100,62,93,31.0,0.0,42,63,64,0,58,42,81,22,67,29,0,31,0.0,21,31.0,70,11,45.0,55.0,0.0,0,56,26.0,22,95,38,0,61,33,10,60,19,M,Lorraine
88,2022-01-09,0.0,85,92,89,55,0.0,0.0,0,100,60,0,80,0,61,52,81,54,34,42,0.0,86,0.0,48,9,0.0,0.0,29.0,62,60,0.0,11,0,25,22,76,43,13,0,0,M,Lorraine
89,2022-01-16,0.0,98,97,72,96,0.0,0.0,76,31,61,0,57,46,54,89,80,25,0,26,0.0,81,30.0,49,9,0.0,32.0,21.0,100,54,0.0,19,33,57,0,60,25,18,58,0,M,Lorraine
90,2022-01-23,22.0,95,94,54,81,0.0,26.0,0,90,61,0,67,20,77,24,58,25,0,78,73.0,46,0.0,31,9,0.0,0.0,29.0,0,15,82.0,20,51,30,0,80,40,22,38,49,M,Lorraine
91,2022-01-30,0.0,64,80,100,60,0.0,41.0,0,32,58,0,61,45,59,27,94,27,0,46,39.0,54,0.0,18,7,0.0,0.0,21.0,0,65,0.0,0,38,33,0,65,67,0,0,0,M,Lorraine
92,2022-02-06,0.0,63,75,57,82,0.0,21.0,0,21,46,36,21,80,76,27,83,0,0,41,0.0,59,33.0,24,6,0.0,0.0,16.0,0,32,0.0,9,0,0,0,60,31,0,26,18,M,Lorraine
93,2022-02-13,0.0,39,60,32,49,0.0,0.0,54,0,61,0,59,45,52,24,85,0,23,48,0.0,56,0.0,13,4,42.0,0.0,0.0,0,29,16.0,9,39,26,0,55,36,5,87,0,M,Lorraine
94,2022-02-20,0.0,27,75,24,67,0.0,0.0,43,29,53,20,71,28,62,38,59,5,29,30,0.0,97,55.0,8,5,0.0,0.0,12.0,15,53,28.0,25,55,7,0,50,45,0,26,0,M,Lorraine
95,2022-02-27,58.0,13,60,21,46,0.0,0.0,0,20,45,0,60,48,81,28,91,0,19,76,0.0,63,0.0,26,4,0.0,0.0,21.0,20,76,0.0,25,44,0,0,70,22,9,21,0,M,Lorraine
96,2022-03-06,0.0,43,71,15,88,0.0,24.0,33,36,51,0,54,37,59,79,89,0,0,15,0.0,38,0.0,43,4,0.0,0.0,0.0,0,22,23.0,24,38,23,0,56,24,4,20,0,M,Lorraine
97,2022-03-13,26.0,36,79,37,82,0.0,0.0,52,0,76,0,50,59,60,27,88,0,26,38,15.0,45,0.0,28,4,0.0,0.0,0.0,0,0,0.0,12,18,16,16,68,38,0,0,0,M,Lorraine
98,2022-03-20,0.0,40,67,45,78,0.0,0.0,0,22,94,34,63,45,100,78,76,12,34,42,0.0,56,0.0,23,4,31.0,0.0,49.0,39,36,16.0,4,0,10,0,57,24,4,0,18,M,Lorraine
99,2022-03-27,0.0,43,75,56,77,57.0,16.0,0,21,98,24,84,44,79,38,83,12,26,43,18.0,51,33.0,9,4,0.0,0.0,17.0,0,50,0.0,19,14,0,0,57,39,0,0,0,M,Lorraine
100,2022-04-03,0.0,30,74,37,95,52.0,0.0,33,37,100,0,65,70,80,57,77,6,41,31,17.0,72,57.0,27,3,0.0,0.0,0.0,18,22,0.0,17,76,8,0,60,58,0,73,0,M,Lorraine
101,2022-04-10,0.0,27,65,43,100,0.0,0.0,25,46,97,0,60,61,64,21,74,9,27,37,0.0,18,47.0,14,3,0.0,0.0,0.0,0,41,49.0,6,0,6,0,73,24,0,28,0,M,Lorraine
102,2022-04-17,0.0,17,69,23,72,0.0,22.0,23,21,67,20,70,85,58,28,76,4,19,29,0.0,87,0.0,18,3,0.0,0.0,53.0,0,22,0.0,7,0,0,0,52,29,0,0,0,M,Lorraine
103,2022-04-24,0.0,20,71,46,45,27.0,0.0,21,46,44,31,56,49,89,33,92,0,33,32,0.0,48,0.0,27,3,0.0,28.0,0.0,0,21,100.0,20,0,0,0,55,29,8,0,54,M,Lorraine
104,2022-05-01,0.0,13,57,19,37,0.0,19.0,0,0,29,27,47,51,73,33,85,6,27,42,75.0,76,0.0,18,3,17.0,31.0,0.0,0,19,0.0,5,0,13,0,56,55,3,56,0,M,Lorraine
105,2022-05-08,0.0,9,60,11,19,0.0,16.0,0,20,51,0,53,49,58,29,55,5,0,45,0.0,60,0.0,25,2,0.0,0.0,0.0,63,30,0.0,10,0,0,0,100,21,0,0,13,M,Lorraine
106,2022-05-15,0.0,16,68,0,50,0.0,36.0,0,49,34,0,48,43,51,35,100,14,21,25,100.0,80,0.0,35,2,58.0,0.0,0.0,0,52,40.0,14,0,8,100,76,23,5,0,0,M,Lorraine
107,2022-05-22,0.0,7,70,42,62,0.0,0.0,0,25,44,0,76,55,84,53,62,0,19,0,65.0,40,0.0,31,2,48.0,0.0,20.0,0,24,0.0,13,58,22,0,46,16,0,0,0,M,Lorraine
108,2022-05-29,0.0,8,59,28,86,0.0,0.0,0,0,46,0,33,39,68,67,88,0,0,15,0.0,50,0.0,43,2,74.0,0.0,0.0,0,14,0.0,10,0,10,0,66,20,0,23,0,M,Lorraine
0,2020-05-03,0.0,0,31,0,29,,,91,52,30,0,13,0,33,0,20,0,20,15,54.0,31,,64,100,0.0,0.0,0.0,0,0,,32,41,0,0,34,30,36,0,52,L,Limousin
1,2020-05-10,0.0,13,49,0,0,,,0,0,0,0,31,0,37,22,28,0,28,39,0.0,74,,44,92,9.0,0.0,0.0,0,98,,15,32,0,0,25,37,100,0,0,L,Limousin
2,2020-05-17,0.0,0,35,0,40,,,0,0,0,0,0,0,41,59,64,0,0,22,63.0,0,,39,68,0.0,30.0,69.0,0,0,,0,28,0,0,55,24,82,0,57,L,Limousin
3,2020-05-24,0.0,0,37,19,0,,,0,24,13,0,32,0,25,38,54,0,27,20,35.0,0,,23,51,0.0,0.0,41.0,0,0,,26,0,0,0,18,13,40,12,0,L,Limousin
4,2020-05-31,0.0,0,41,0,21,,,45,0,0,0,35,44,14,26,41,15,0,0,0.0,46,,0,38,0.0,0.0,29.0,0,0,,31,0,0,0,13,0,14,0,0,L,Limousin
5,2020-06-07,0.0,0,21,0,0,,,0,0,15,0,15,21,22,0,43,0,0,0,0.0,25,,36,33,0.0,0.0,0.0,23,45,,17,26,0,0,28,39,39,0,0,L,Limousin
6,2020-06-14,65.0,0,16,0,24,,,0,0,0,28,34,24,46,30,59,0,0,30,0.0,51,,69,31,0.0,0.0,0.0,0,79,,29,0,0,0,0,74,20,22,0,L,Limousin
7,2020-06-21,0.0,23,21,0,0,,,0,0,0,0,18,29,57,26,0,17,0,72,0.0,52,,0,31,46.0,15.0,0.0,0,47,,16,100,0,0,32,87,18,0,46,L,Limousin
8,2020-06-28,0.0,8,53,24,0,,,0,0,11,37,28,23,24,0,58,0,0,0,0.0,0,,28,30,0.0,17.0,0.0,0,30,,31,0,0,0,40,15,0,0,47,L,Limousin
9,2020-07-05,0.0,0,31,100,0,,,0,39,0,0,50,100,28,77,45,0,0,20,0.0,66,,0,37,0.0,0.0,42.0,0,52,,28,0,0,0,54,32,0,0,0,L,Limousin
10,2020-07-12,0.0,0,39,0,44,,,0,0,14,0,0,24,16,0,23,0,0,28,0.0,27,,0,40,17.0,33.0,0.0,21,33,,36,0,0,0,13,0,17,0,61,L,Limousin
